ICAO Aircraft Type Code,IATA Aircraft type Code,Model,Aircraft manufacturer,In Use Indicator (Yes/No),ICAO Airline Code,IATA Airline Code,Number of seats
A320,320,A320,Airbus,yes,AT,RAM,150
A320,320,A320,Airbus,yes,OU,CTN,150
A320,320,A320,Airbus,yes,US,USA,150
A320,320,A320,Airbus,yes,LX,SWR,150
A320,320,A320,Airbus,yes,PZ,LAP,150
A320,320,A320,Airbus,yes,6E,IGO,150
A320,320,A320,Airbus,yes,IV,JET,150
A320,320,A320,Airbus,yes,OA,OAL,150
A320,320,A320,Airbus,yes,PS,AUI,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,H2,SKU,150
A320,320,A320,Airbus,yes,6H,ISR,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,WY,OMA,150
A320,320,A320,Airbus,yes,TP,TAP,150
A320,320,A320,Airbus,yes,PK,PIA,150
A320,320,A320,Airbus,yes,EQ,TAE,150
A320,320,A320,Airbus,yes,IE,SOL,150
A320,320,A320,Airbus,yes,IT,KFR,150
A320,320,A320,Airbus,yes,DJ,VOZ,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,CO,COA,150
A320,320,A320,Airbus,yes,OK,CSA,150
A320,320,A320,Airbus,yes,VS,VIR,150
A320,320,A320,Airbus,yes,G8,GOW,150
A320,320,A320,Airbus,yes,PN,CHB,150
A320,320,A320,Airbus,yes,Z6,ZTT,150
A320,320,A320,Airbus,yes,8Q,OHY,150
A320,320,A320,Airbus,yes,HY,UZB,150
A320,320,A320,Airbus,yes,VF,VLU,150
A320,320,A320,Airbus,yes,KL,KLM,150
A320,320,A320,Airbus,yes,KR,CWK,150
A320,320,A320,Airbus,yes,W6,WZZ,150
A320,320,A320,Airbus,yes,KQ,KQA,150
A320,320,A320,Airbus,yes,CI,CAL,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,VC,,150
A320,320,A320,Airbus,yes,NZ,ANZ,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,JP,ADR,150
A320,320,A320,Airbus,yes,KM,AMC,150
A320,320,A320,Airbus,yes,RL,RFJ,150
A320,320,A320,Airbus,yes,9C,,150
A320,320,A320,Airbus,yes,SU,AFL,150
A320,320,A320,Airbus,yes,OS,AUA,150
A320,320,A320,Airbus,yes,WU,WAU,150
A320,320,A320,Airbus,yes,CZ,CSN,150
A320,320,A320,Airbus,yes,QH,FLZ,150
A320,320,A320,Airbus,yes,EY,ETD,150
A320,320,A320,Airbus,yes,AE,MDA,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,GF,GBA,150
A320,320,A320,Airbus,yes,IR,IRA,150
A320,320,A320,Airbus,yes,NH,ANA,150
A320,320,A320,Airbus,yes,PG,BKP,150
A320,320,A320,Airbus,yes,QF,QFA,150
A320,320,A320,Airbus,yes,AF,AFR,150
A320,320,A320,Airbus,yes,JJ,TAM,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,AY,FIN,150
A320,320,A320,Airbus,yes,SN,DAT,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,YK,,150
A320,320,A320,Airbus,yes,LR,LRC,150
A320,320,A320,Airbus,yes,MI,SLK,150
A320,320,A320,Airbus,yes,3K,JSA,150
A320,320,A320,Airbus,,,,150
A321,321,A321,Airbus,yes,MU,CES,185
A321,321,A321,Airbus,yes,NK,NKS,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,TA,TAT,185
A321,321,A321,Airbus,yes,ME,MEA,185
A321,321,A321,Airbus,yes,QR,QTR,185
A321,321,A321,Airbus,yes,FQ,TCW,185
A321,321,A321,Airbus,yes,AP,ADH,185
A321,321,A321,Airbus,yes,LH,DLH,185
A321,321,A321,Airbus,yes,FV,SDM,185
A321,321,A321,Airbus,yes,A3,AEE,185
A321,321,A321,Airbus,yes,RJ,RJA,185
