ICAO Aircraft Type Code,IATA Aircraft type Code,Model,Aircraft manufacturer,Year Manufactured,In Use Indicator (Yes/No),Min number of seats,Maximum of seats
GLF3,,Gulfstream III (G-1159A),Gulfstream Aerospace,,No,11,11
GLF4,,Gulfstream IV (G300 / G350 / G400 / G450),Gulfstream Aerospace,,No,12,12
GLF5,,Gulfstream V (G500 / G550),Gulfstream Aerospace,,No,13,13
G150,,G150,Gulfstream Aerospace,,No,6,6
GALX,,G200/G250 / Galaxy,Gulfstream Aerospace / IAI Israel Aircraft Industries,,No,8,8
,,HS 125,Hawker Siddeley / British Aerospace,,No,0,0
,,Hawker 4000 (Horizon),Hawker-Beechcraft (Raytheon),,No,8,8
,,Hawker 400XP / Beechjet 400 / MU-300 Diamond,Hawker-Beechcraft (Raytheon) / Mitsubishi,,No,6,6
,,HFB 320 Hansa,"HFB, Hamburger Flugzeugbau / MBB",,No,7,7
,,IAI-1123 / IAI-1124 Westwind,IAI Israel Aircraft Industries,,No,0,0
,,IAI-1125 Astra / Gulfstream G100,"IAI, Israel Aircraft Industries / Gulfstream Aerospace",,No,9,9
,,Learjet 23,Learjet,,No,5,5
,,Learjet 24,Learjet,,No,4,4
,,Learjet 25,Learjet,,No,5,5
,,Learjet 31,Learjet,,No,6,6
,,Learjet 35 / 36,Learjet,,No,0,0
,,Learjet 45,Learjet,,No,8,8
,,Learjet 55,Learjet,,No,0,0
,,Learjet 60,Learjet,,No,0,0
,,L-1329 JetStar,Lockheed,,No,8,8
,,SJ30-2,Sino Swearingen,,No,6,6
SBR1,,T-39 / NA265 Sabreliner,North American / Rockwell,,No,10,10
A700,,A700,Adam Aircraft,,No,5,5
C510,,510 Citation Mustang,Cessna,,No,4,4
,,D-JET,Diamond Aircraft,,No,4,4
,,Eclipse 500,Eclipse Aviation,,No,4,4
E50P,,Phenom 100,EMBRAER,,No,4,4
E55P,,Phenom 300,EMBRAER,,No,6,6
S76,S76,S-76A (S-76A+ / S-76A++),Sikorsky Aircraft,,No,12,12
S76,S76,S-76B,Sikorsky Aircraft,,No,12,12
S76,S76,S-76C (S-76C+ / S-76C++),Sikorsky Aircraft,,No,12,12
A148,,An-148,Antonow / Antonov,,No,70,70
,,ATR 42,"ATR, Avions de Transport Regional",,No,46,46
,,ATR 72,"ATR, Avions de Transport Regional",,No,66,66
,,Avro 748 / HS 748 / BAe 748,AVRO / Hawker Siddeley / British Aerospace,,No,0,0
,,One-Eleven (1-11),"BAC, British Aircraft Corporation",,No,0,0
,,Jetstream 41,"BAe, British Aerospace",,No,0,0
B461,,BAe 146-100 / AVRO RJ70,"BAe, British Aerospace",,No,70,70
B462,,BAe 146-200 / AVRO RJ85,"BAe, British Aerospace",,No,85,85
B463,,BAe 146-300 / AVRO RJ100,"BAe, British Aerospace",,No,100,100
,,ATP / Jetstream 61,"BAe, British Aerospace (BAE Systems)",,No,0,0
BE99,,99 Airliner / Commuter,Beech / Beechcraft,,No,15,15
B190,,1900 (Airliner),Beech / Beechcraft,,No,19,19
,,BN-2A Mk III Trislander,Britten-Norman,,No,17,17
CRJ1,,CRJ100 (CL-600-2B19),Canadair / Bombardier,,No,50,50
CRJ2,,CRJ200 (CL-600-2B19),Canadair / Bombardier,,No,50,50
CRJ7,,CRJ700 (CL-600-2C10),Canadair / Bombardier,,No,68,68
CRJ9,,CRJ900 (CL-600-2D24),Canadair / Bombardier,,No,90,90
D328,,Do 328 / 328-100,Dornier / Fairchild-Dornier,,No,33,33
J328,,Do 328JET / 328-300,Dornier / Fairchild-Dornier,,No,33,33
E120,,EMB 120 Brasilia,EMBRAER,,No,30,30
E135,,EMB 135 / ERJ 135,EMBRAER,,No,37,37
E135,,EMB 135 / ERJ 140,EMBRAER,,No,0,0
E145,,EMB 145 / ERJ 145,EMBRAER,,No,50,50
E170,,170 / ERJ 170-100,EMBRAER,,No,80,80
E170,,175 / ERJ 170-200,EMBRAER,,No,78,78
E190,,190 / ERJ 190-100,EMBRAER,,No,98,98
E190,,195 / ERJ 190-200,EMBRAER,,No,108,108
,,Metro / Metroliner,Fairchild-Swearingen,,No,19,19
,,F27 Friendship,Fokker,,No,52,52
F28,,F28 Fellowship,Fokker,,No,65,65
,,Fokker 50,Fokker,,No,0,0
F70,,Fokker 70,Fokker,,No,85,85
,,H.P.R.7 Herald,Handley Page,,No,56,56
YK40,,Jak-40 / Yak-40,Jakowlew / Yakovlev,,No,32,32
,,L-610,LET,,No,40,40
,,Saab 340,Saab,,No,37,37
,,Saab 2000,Saab,,No,53,53
,,Short 360,Short Brothers (Shorts),,No,39,39
,,Superjet 100 / SSJ100,Suchoi / Suchoj / Sukhoi,,No,98,98
,,Tu-124,Tupolew / Tupolev,,No,40,40
T334,,Tu-334,Tupolew / Tupolev,,No,102,102
,,VFW 614,"VFW, Vereinigte Flugtechnische Werke",,No,44,44
,,MA60,Xian,,No,52,52
,,Jetstream 31/32,"Handley Page / Scottish Aviation / BAe, British Aerospace",,No,0,0
,,D.H.104 Dove,de Havilland,,No,8,8
E110,,EMB 110 Bandeirante,EMBRAER,,No,18,18
,,Short 330,Short Brothers (Shorts),,No,30,30
,,615 VC.1 Viking,Vickers,,No,24,24
,,DHC-7 Dash 7,de Havilland Canada,,No,50,50
D228,,Do 228,Dornier,,No,19,19
,SSC,Concorde,Aerospatiale / BAC,,No,92,92
T144,,Tu-144,Tupolew / Tupolev,,No,135,135
,,17 Staggerwing,Beech / Beechcraft,,No,4,4
C310,,310 / 320,Cessna,,No,4,4
C404,,404 Titan,Cessna,,No,9,9
S601,NDC,SN 601 Corvette,Aerospatiale,,No,6,6
,,MU-2,Mitsubishi,,No,6,6
,,BN-2 Islander,Britten-Norman,,No,9,9
,,L-410 Turbolet / L-420,LET,,No,17,17
,,42-600,ATR,,Yes,48,48
,,Q400,Bombardier,,Yes,71,78
,,Superjet,Sukhoi,,Yes,87,93
,,170,Embraer,,Yes,76,76
,,190,Embraer,,Yes,96,99
,,190,Embraer,,Yes,96,99
,,E-190,Embraer,,Yes,94,106
,,E-190-E2,Embraer,,Yes,108,108
,,72-500,ATR,,Yes,64,72
,,-,rouge,,Yes,136,314
,,-,rouge,,Yes,136,314
,,-,rouge,,Yes,136,314
,,-,rouge,,Yes,136,314
,,Havilland,de,,Yes,12,50
,,Havilland,de,,Yes,12,50
,,72-500,ATR,,Yes,64,72
,,72-600,ATR,,Yes,68,74
,,72-500,ATR,,Yes,64,72
,,E-195,Embraer,,Yes,112,118
,,195,Embraer,,Yes,118,122
,,Avroliner,RJ-85,,Yes,95,95
,,42-500,ATR,,Yes,44,48
,,72-500,ATR,,Yes,64,72
,,72-600,ATR,,Yes,68,74
,,72-500,ATR,,Yes,64,72
